ds,unique_id,y,QLF,ROL,CPV,black_friday,carnaval,confraternizacao_universal,copa_do_mundo,covid,dia_das_maes,dia_de_finados,dia_dos_namorados,dia_dos_pais,dia_do_trabalhador,eleicoes,halloween,independencia_do_brasil,natal,nossa_senhora_aparecida,pascoa,proclamacao_da_republica,sexta_feira_santa,dayofweek,monthofyear
2020-04-03,BB,4340.0599999999995,4.0,3255.045,716.59899,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2020-04-04,BB,7533.1,9.0,5649.825,1370.43713,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
2020-04-05,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
2020-04-06,BB,8680.8,15.0,6510.6,1218.45409,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2020-04-07,BB,12929.57,16.0,9697.1775,1834.09314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
2020-04-08,BB,9492.91,14.0,7119.6825,1336.20472,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2020-04-09,BB,1298.0,1.0,973.5,177.98734,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
2020-04-10,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4
2020-04-11,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
2020-04-12,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4
2020-04-13,BB,25885.780000000002,70.0,19414.335,5518.15042,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2020-04-14,BB,56454.76,112.0,42341.07,11244.51335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
2020-04-15,BB,15719.28,39.0,11789.460000000001,3003.0206399999997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2020-04-16,BB,6413.16,11.0,4809.87,1102.28642,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
2020-04-17,BB,19471.71,35.0,14603.7825,3250.92622,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2020-04-18,BB,898.0,1.0,673.5,101.73047,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
2020-04-19,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
2020-04-20,BB,309.1099999999998,28.0,231.83250000000015,313.79094000000015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2020-04-21,BB,9793.199999999999,25.0,7344.9,3158.7903399999996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
2020-04-22,BB,34764.17,65.0,26073.1275,7303.84289,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2020-04-23,BB,47682.76,70.0,35762.07,10046.10127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
2020-04-24,BB,30340.1,47.0,22755.075,6284.92253,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2020-04-25,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
2020-04-26,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
2020-04-27,BB,17004.06,34.0,12753.045,3542.73833,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2020-04-28,BB,11763.55,15.0,8822.6625,1928.41215,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4
2020-04-29,BB,27865.84,37.0,20899.38,6351.71679,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2020-04-30,BB,6216.12,11.0,4662.09,1704.29713,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4
2020-05-01,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,5
2020-05-02,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2020-05-03,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,5
